-3.142      3.142 
-3.042      3.043 
-2.942      2.948 
-2.842      2.857 
-2.742      2.769 
-2.642      2.685 
-2.542      2.604 
-2.442      2.525 
-2.342      2.449 
-2.242      2.375 
-2.142      2.301 
-2.042      2.228 
-1.942      2.154 
-1.842      2.078 
-1.742      2.001 
-1.642      1.921 
-1.542      1.837 
-1.442      1.750 
-1.342      1.658 
-1.242      1.561 
-1.142      1.459 
-1.042      1.353 
-0.942      1.241 
-0.842      1.124 
-0.742      1.003 
-0.642      0.877 
-0.542      0.748 
-0.442      0.615 
-0.342      0.478 
-0.242      0.340 
-0.142      0.200 
-0.042      0.059 
0.058       0.083 
0.158       0.224 
0.258       0.363 
0.358       0.502 
0.458       0.637 
0.558       0.770 
0.658       0.899 
0.758       1.024 
0.858       1.144 
0.958       1.260 
1.058       1.371 
1.158       1.477 
1.258       1.578 
1.358       1.674 
1.458       1.765 
1.558       1.852 
1.658       1.935 
1.758       2.014 
1.858       2.091 
1.958       2.166 
2.058       2.240 
2.158       2.313 
2.258       2.387 
2.358       2.462 
2.458       2.538 
2.558       2.617 
2.658       2.699 
2.758       2.784 
2.858       2.872 
2.958       2.964 
3.058       3.060 
